c7	15	0.8
c2	18	0.9
c8	8	0.3
c1	27	0.5
c0	46	0.1
c11	5	0.6
c5	1	0.5
c12	30	0.3
c9	14	0.4
c3	24	0.1
c4	29	0.5
c10	34	0.3
c6	41	0.9
c7	27	0.9
c7	46	1.0
c7	41	0.0
c7	24	0.8
c2	5	0.4
c2	8	0.4
c2	15	0.0
c2	1	0.4
c8	24	0.6
c8	29	0.8
c8	15	0.6
c8	18	0.2
c1	5	0.9
c1	1	0.6
c1	29	0.7
c1	27	0.2
c0	14	0.9
c0	30	0.2
c0	34	0.2
c0	41	0.9
c11	8	0.6
c11	27	0.3
c11	34	0.1
c11	5	0.2
c5	8	0.6
c5	15	0.5
c5	1	0.1
c5	29	0.7
c12	41	0.4
c12	8	0.0
c12	29	0.7
c12	1	0.6
c9	18	0.8
c9	15	1.0
c9	1	0.8
c9	29	0.4
c3	30	0.7
c3	29	0.2
c3	14	0.4
c3	41	0.1
c4	18	0.4
c4	46	1.0
c4	14	0.6
c4	24	0.2
c10	41	0.2
c10	27	0.6
c10	14	0.4
c10	34	0.7
c6	29	1.0
c6	27	0.1
c6	18	0.3
c6	41	0.2
