c7	71	0.4
c21	40	0.1
c16	50	0.6
c5	26	0.2
c6	37	0.4
c4	35	0.3
c19	3	0.3
c11	64	0.5
c0	18	0.3
c10	66	0.2
c15	38	0.3
c12	30	0.8
c1	60	0.6
c13	59	0.3
c8	55	0.7
c3	14	0.4
c2	15	0.6
c22	67	0.0
c9	42	0.4
c18	44	0.8
c17	28	1.0
c14	24	0.5
c20	10	0.5
c0	18	0.1
c0	44	0.5
c0	42	0.2
c0	30	0.3
c1	60	0.3
c1	64	0.9
c1	30	0.6
c1	66	0.7
c2	14	0.2
c2	50	0.5
c2	24	0.2
c2	15	0.5
c3	37	0.9
c3	38	0.0
c3	59	1.0
c3	44	0.2
c4	44	0.6
c4	59	0.0
c4	66	0.7
c4	38	0.6
c5	42	0.8
c5	3	0.2
c5	35	0.5
c5	50	0.8
c6	14	0.1
c6	37	0.5
c6	42	0.5
c6	30	0.7
c7	64	0.7
c7	59	0.3
c7	28	0.6
c7	35	0.1
c8	18	0.2
c8	14	1.0
c8	3	0.9
c8	71	0.8
c9	44	0.8
c9	10	0.7
c9	60	0.9
c9	35	0.7
c10	28	0.7
c10	59	0.1
c10	38	0.8
c10	67	0.7
c11	14	0.4
c11	71	0.3
c11	26	0.7
c11	35	0.3
c12	59	0.3
c12	50	0.6
c12	18	0.3
c12	10	0.6
c13	42	0.2
c13	44	0.2
c13	71	0.1
c13	38	0.5
c14	30	0.5
c14	28	0.4
c14	55	1.0
c14	18	0.0
c15	18	1.0
c15	40	0.8
c15	42	0.9
c15	3	0.3
c16	55	0.9
c16	60	0.6
c16	64	0.5
c16	14	0.6
c17	35	0.4
c17	42	0.5
c17	60	0.4
c17	10	0.3
c18	28	0.9
c18	38	0.2
c18	59	0.1
c18	66	0.7
c19	26	0.3
c19	60	0.9
c19	24	0.4
c19	66	0.2
c20	15	0.3
c20	42	0.3
c20	28	0.3
c20	55	0.4
c21	15	0.8
c21	14	0.1
c21	37	0.9
c21	71	0.4
c22	60	0.4
c22	59	0.2
c22	38	0.0
c22	40	0.6
