c9	66	0.3
c4	2	0.3
c6	64	0.4
c3	27	0.4
c0	48	0.0
c11	61	1.0
c10	58	0.2
c8	57	0.9
c2	67	0.1
c5	8	0.2
c14	69	0.2
c1	31	0.1
c7	24	0.1
c12	33	0.8
c13	22	0.1
c9	64	0.7
c9	69	0.6
c9	22	0.8
c9	48	0.8
c4	48	0.5
c4	31	0.1
c4	24	0.4
c4	64	0.1
c6	24	0.1
c6	8	0.7
c6	33	0.9
c6	27	0.6
c3	57	0.0
c3	61	1.0
c3	2	0.4
c3	58	0.7
c0	8	0.1
c0	57	0.2
c0	58	0.8
c0	2	0.8
c11	57	0.1
c11	31	0.0
c11	8	0.9
c11	69	0.8
c10	69	1.0
c10	31	0.4
c10	64	0.9
c10	2	0.2
c8	24	0.0
c8	31	1.0
c8	33	0.4
c8	48	0.6
c2	64	0.4
c2	66	0.7
c2	67	0.5
c2	58	0.8
c5	27	0.8
c5	24	0.6
c5	64	0.5
c5	58	1.0
c14	8	0.2
c14	48	0.5
c14	2	0.4
c14	69	0.1
c1	22	0.2
c1	27	0.6
c1	8	0.4
c1	61	0.7
c7	69	0.3
c7	24	0.9
c7	27	0.5
c7	33	0.7
c12	67	0.3
c12	27	1.0
c12	64	0.7
c12	57	0.8
c13	69	0.7
c13	33	0.6
c13	67	0.6
c13	24	0.4
